texts	labels	predictions	z
▁If ▁you ▁have n ' t ▁seen ▁this , ▁it ' s ▁terrible . ▁It ▁is ▁pure ▁trash . ▁I ▁saw ▁this ▁about ▁17 ▁years ▁ago , ▁and ▁I ' m ▁still ▁screw e d ▁up ▁from ▁it . </s>	0	0	[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁being ▁ a ▁ NI ▁support er , ▁it ' s ▁hard ▁to ▁objective ly ▁review ▁ a ▁movie ▁glorif ying ▁ ul ster ▁national ist s . ▁characters ▁who ▁are ▁hard ▁to ▁root ▁for , ▁typical ▁heavy - handed ▁anti - viol ence ▁messages , ▁and ▁ a ▁predictable ▁ ' p o etic ▁justice ' ▁ending ▁makes ▁this ▁an ▁awkward ▁watch ... </s>	0	0	[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
▁Nine ▁minutes ▁of ▁ psych edel ic , ▁ pul s ating , ▁often ▁ symmetric ▁abstract ▁images , ▁are ▁enough ▁to ▁drive ▁anyone ▁crazy . ▁I ▁did ▁spot ▁ a ▁full - frame ▁eye ▁at ▁the ▁start , ▁and ▁later ▁some ▁birds ▁silhouette d ▁against ▁other ▁colors . ▁It ▁was ▁just ▁not ▁my ▁cup ▁of ▁tea . ▁It ' s ▁about ▁ 81 <unk> 2 ▁minutes ▁too ▁long . </s>	0	0	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
▁Really ▁bad ▁movie . ▁Maybe ▁the ▁worst ▁I ' ve ▁ever ▁seen . ▁Ali en ▁invasion , ▁ a ▁la ▁The ▁Blo b , ▁without ▁the ▁acting . ▁Met e o rite ▁turns ▁beautiful ▁woman ▁into ▁ a ▁host ▁body ▁for ▁nasty ▁tongue . ▁Bad ▁plot , ▁bad ▁fake ▁tongue . ▁Ab sur d ▁comedy ▁worth ▁missing . ▁Wash ▁your ▁hair ▁or ▁take ▁out ▁the ▁trash . </s>	0	0	[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁I ▁read ▁the ▁novel ▁some ▁years ▁ago ▁and ▁I ▁liked ▁it ▁ a ▁lot . ▁when ▁I ▁saw ▁the ▁movie ▁I ▁couldn ' t ▁believe ▁it ... ▁They ▁changed ▁everything ▁I ▁liked ▁about ▁the ▁novel , ▁even ▁the ▁plot . ▁I ▁wonder ▁what ▁did ▁Isabel ▁All ende ▁( author ) ▁say ▁about ▁the ▁movie , ▁but ▁I ▁think ▁it ▁ s uck s !!! </s>	0	1	[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁This ▁movie ▁was ▁so ▁bad ▁that ▁my ▁ i . q . ▁went ▁down ▁about ▁40 ▁points ▁after ▁seeing ▁it . ▁It ▁made ▁me ▁wonder ▁who ▁could ▁sit ▁through ▁the ▁weeks ▁it ▁took ▁to ▁make ▁it ▁and ▁think ▁that ▁it ▁was ▁worth ▁it . ▁It ▁must ▁of ▁been ▁some ▁kind ▁of ▁personal ▁favor ▁to ▁Van ▁Dam me . </s>	0	0	[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁I ▁ rated ▁this ▁ a ▁3. ▁The ▁du bbing ▁was ▁as ▁bad ▁as ▁I ▁have ▁seen . ▁The ▁plot ▁ - ▁ y uck . ▁I ' m ▁not ▁sure ▁which ▁ ruined ▁the ▁movie ▁more . ▁Jet ▁Li ▁is ▁definitely ▁ a ▁great ▁martial ▁artist , ▁but ▁I ' ll ▁stick ▁to ▁Jackie ▁Chan ▁movies ▁until ▁somebody ▁tell s ▁me ▁Jet ' s ▁English ▁is ▁up ▁to ▁par . </s>	0	0	[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁since ▁this ▁is ▁part ▁2, ▁then ▁comp er ing ▁it ▁to ▁part ▁one ... <unk> b r ▁ / > <unk> b r ▁ / > man ▁that ▁was ▁on ▁many ▁places ▁wie r d ... ▁too ▁many ▁time ▁jump s ▁etc . <unk> b r ▁ / > <unk> b r ▁ / > I ▁have ▁to ▁say ▁that ▁I ▁was ▁really ▁dis a point e d ... <unk> b r ▁ / > <unk> b r ▁ / > only ▁some place s ▁little ▁la me ▁action ... ▁and ▁that s ▁it .... <unk> b r ▁ / > <unk> b r ▁ / > they ▁could ▁have ▁done ▁that ▁better .... <unk> b r ▁ / > <unk> b r ▁ / > </s>	0	0	[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁this ▁is ▁ a ▁great ▁movie . ▁I ▁love ▁the ▁series ▁on ▁ t v ▁and ▁so ▁I ▁loved ▁the ▁movie . ▁One ▁of ▁the ▁best ▁things ▁in ▁the ▁movie ▁is ▁that ▁He l g a ▁finally ▁admit s ▁her ▁deep est ▁dark est ▁secret ▁to ▁Arnold !!! ▁that ▁was ▁great . ▁ i ▁loved ▁it ▁it ▁was ▁pretty ▁funny ▁too . ▁It ' s ▁ a ▁great ▁movie ! ▁Do y !!! </s>	0	1	[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
▁Green away ▁seems ▁to ▁have ▁ a ▁habit ▁of ▁trying ▁deliberately ▁to ▁disgust ▁his ▁viewers . ▁This ▁film ▁opens ▁with ▁in c est - - and ▁purpose less , ▁meaning less , ▁casual ▁in c est ▁at ▁that . ▁That ' s ▁Green away ' s ▁big ▁problem . ▁He ▁prefer s ▁par lor ▁tricks ▁to ▁shock ▁over ▁actually ▁doing ▁anything ▁meaningful . ▁Technical ▁skill ▁is n ' t ▁enough . ▁He ' s ▁just ▁ a ▁bit ▁per verse ▁for ▁the ▁sake ▁of ▁per vers ity . </s>	0	0	[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"▁If ▁this ▁is ▁the ▁first ▁of ▁the ▁"" N e mes is "" ▁films ▁that ▁you ▁have ▁seen , ▁then ▁I ▁strongly ▁urge ▁you ▁to ▁proceed ▁no ▁further . ▁The ▁sequel s ▁to ▁"" N e bul a "" ▁prove ▁to ▁be ▁no ▁better ... hard ▁to ▁believe ▁considering ▁this ▁entry ▁is ▁bottom - of - the - bar re l . ▁This ▁movie ▁ tries , ▁but ▁it ' s ▁just ▁not ▁worth ▁your ▁time , ▁folks . ▁Take ▁ a ▁nap ▁instead . </s>"	0	0	[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
